object_id,department,title,object_name,origin_country,period,artist_display_name,artist_begin_date,artist_end_date,medium,link_resource,tags,century,primary_image,artist_gender
199800,European Sculpture and Decorative Arts,Drawing (design for fork and spoon),Drawing,Italy,Unknown,Antonio Gentili (Antonio da Faenza)|Stefano della Bella,,,Ink on paper,http://www.metmuseum.org/art/collection/search/199800,Men,16th century,https://images.metmuseum.org/CRDImages/es/original/DP809940.jpg,Male
446265,Islamic Art,Princely Hawking Party,Folio from an illustrated manuscript,Iran,Unknown,Mirza 'Ali,1500.0,1599.0,"Ink, opaque watercolor, and gold on paper",http://www.metmuseum.org/art/collection/search/446265,Animals|Birds|Hawks|Boys|Men|Horses,16th century,https://images.metmuseum.org/CRDImages/is/original/DP240646.jpg,Male
459059,Robert Lehman Collection,The Holy Family,Painting,Netherlands,Unknown,Joos van Cleve,1485.0,1541.0,Oil on oak panel,http://www.metmuseum.org/art/collection/search/459059,Christ|Virgin Mary|Holy Family,16th century,https://images.metmuseum.org/CRDImages/rl/original/DT3079.jpg,Male
36014,Asian Art,清 山水圖  軸|Landscape,Hanging scroll,China,Qing dynasty (1644–1911),Zhao Zuo,1560.0,1630.0,Hanging scroll; ink on silk,http://www.metmuseum.org/art/collection/search/36014,Mountains|Landscapes,17th century,https://images.metmuseum.org/CRDImages/as/original/13_220_30_257361.jpg,Male
445975,Islamic Art,Portrait of Mian Mir and Mulla Shah,Illustrated  album leaf,India,Unknown,Muhammad Musa,,,Watercolor on paper,http://www.metmuseum.org/art/collection/search/445975,Men|Portraits,17th century,https://images.metmuseum.org/CRDImages/is/original/DP-25267-001.jpg,Male
459284,Robert Lehman Collection,Wooded Landscape,Drawing,Netherlands,Unknown,Gillis van Coninxloo,1544.0,1607.0,"Pen and brown ink, brush and brown and blue ink and washes in the same colors",http://www.metmuseum.org/art/collection/search/459284,Landscapes,17th century,https://images.metmuseum.org/CRDImages/rl/original/DP-22376-001.jpg,Male
10808,The American Wing,Mrs. Augustus Jay,Painting,United States,Unknown,Gerrit Duyckinck,1660.0,1712.0,Oil on wood,http://www.metmuseum.org/art/collection/search/10808,Portraits|Women,17th century,https://images.metmuseum.org/CRDImages/ad/original/ap1970.283.5.jpg,Male
26900,Arms and Armor,Designs for the Decoration of Firearms,Drawings,France,Unknown,Nicolas Noël Boutet,1761.0,1833.0,"Pencil, ink, gray wash on paper",http://www.metmuseum.org/art/collection/search/26900,Ornament,18th century,https://images.metmuseum.org/CRDImages/aa/original/DP322491.jpg,Male
36015,Asian Art,清   陳書   白鸚鵡圖   軸|Cockatoo,Hanging scroll,China,Qing dynasty (1644–1911),Chen Shu,1660.0,1736.0,Hanging scroll; ink and color on paper,http://www.metmuseum.org/art/collection/search/36015,Birds,18th century,https://images.metmuseum.org/CRDImages/as/original/DP-33899-002.jpg,Male
189551,European Sculpture and Decorative Arts,Pygmalion and Galatea as Infants,Painting,France,Unknown,François Boucher|French Painter,,,Oil on canvas,http://www.metmuseum.org/art/collection/search/189551,Infants|Galatea|Pygmalion,18th century,https://images.metmuseum.org/CRDImages/es/original/ep07.225.310.bw.R.jpg,Male
448492,Islamic Art,"""Copper Plate Printers at Work"", Folio from the Davis Album",Illustrated  album leaf,Iran,Unknown,Muhammad Zaman,1624.0,1725.0,Ink on paper,http://www.metmuseum.org/art/collection/search/448492,Machines|Men|Working,18th century,https://images.metmuseum.org/CRDImages/is/original/sf30-95-174-33a.jpg,Male
505722,Musical Instruments,Portrait of Monsieur Aublet,Painting,France,Unknown,Guillaume Voiriot,1713.0,1799.0,Oil on canvas,http://www.metmuseum.org/art/collection/search/505722,Men|Portraits|Guitars,18th century,https://images.metmuseum.org/CRDImages/mi/original/DP-12444-001.jpg,Male
459034,Robert Lehman Collection,"Capriccio with a Circular Tower, Two Houses, and a Bridge",Painting,Italy,Unknown,Francesco Guardi,1712.0,1793.0,"Oil on paper, laid down on Masonite",http://www.metmuseum.org/art/collection/search/459034,Towers|Bridges|Boats,18th century,https://images.metmuseum.org/CRDImages/rl/original/DP328378.jpg,Male
10085,The American Wing,James Badger,Painting,United States,Unknown,Joseph Badger,1708.0,1765.0,Oil on canvas,http://www.metmuseum.org/art/collection/search/10085,Birds|Cherries|Boys|Portraits,18th century,https://images.metmuseum.org/CRDImages/ad/original/ap29.85.jpg,Male
327533,Ancient Near Eastern Art,"Drawing of Sasanian rock relief: Shapur I (r. A.D. 241-272) and members of his court at Naqsh-i Radjab, southern Iran",Drawing,Iran,Unknown,Lutf-'Ali Shirazi,,,"Paper, pencil, ink",http://www.metmuseum.org/art/collection/search/327533,Men|Horses,19th century,https://images.metmuseum.org/CRDImages/an/original/DP-22479-001.jpg,Male
26561,Arms and Armor,Design for an Officer's Sword,Drawing,United States,Unknown,Thomas Fletcher,1787.0,1866.0,"Ink, wash, paper",http://www.metmuseum.org/art/collection/search/26561,Swords,19th century,https://images.metmuseum.org/CRDImages/aa/original/LC-1995_38-002.jpg,Male
318359,"Arts of Africa, Oceania, and the Americas",Two Riders Leading Horses (Henderson Ledger Artist B),Drawing,United States,Unknown,Frank Henderson,1862.0,1885.0,"Pencil, colored pencil on paper",http://www.metmuseum.org/art/collection/search/318359,Horses,19th century,https://images.metmuseum.org/CRDImages/ao/original/DP258289.jpg,Male
35971,Asian Art,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Hanging scroll,China,Qing dynasty (1644–1911),Wang Hui|Unidentified artist,,,Hanging scroll; ink on silk,http://www.metmuseum.org/art/collection/search/35971,Mountains|Landscapes,19th century,https://images.metmuseum.org/CRDImages/as/original/13_100_25_O.jpg,Male
451297,Islamic Art,"""Dervish Leading a Bear"", Folio from the Shah Jahan Album",Album leaf,India,Unknown,Govardhan,1596.0,1645.0,"Ink, opaque watercolor, and gold on paper",http://www.metmuseum.org/art/collection/search/451297,Bears|Men|Flowers,19th century,https://images.metmuseum.org/CRDImages/is/original/DP247742.jpg,Male
459514,Robert Lehman Collection,Madonna and Child with the Young Saint John the Baptist,Drawing,Italy,Unknown,"Italy, In the manner of Raphael",1770.0,1829.0,Pen and brown ink,http://www.metmuseum.org/art/collection/search/459514,Madonna and Child|Saint John the Baptist,19th century,https://images.metmuseum.org/CRDImages/rl/original/DP-17358-059.jpg,Male
485,The American Wing,Portrait of Benjamin Franklin,Painting,France,Unknown,H. Sanford,1783.0,1822.0,Panel,http://www.metmuseum.org/art/collection/search/485,Benjamin Franklin|Men|Portraits,19th century,https://images.metmuseum.org/CRDImages/ad/original/25583.jpg,Male
45692,Asian Art,山水図|River Landscape in Evening,Hanging scroll,Japan,Muromachi period (1392–1573) or Momoyama period (1573–1615),Kano Motonobu,1477.0,1559.0,Hanging scroll; ink on paper,http://www.metmuseum.org/art/collection/search/45692,Landscapes,1th century,https://images.metmuseum.org/CRDImages/as/original/LC-14_76_13_jps-008.jpg,Male
48933,Asian Art,明  莫是龍 書畫  卷|Landscape,Handscroll,China,Unknown,Mo Shilong|Unidentified artist,,,Handscroll; ink and color on paper,http://www.metmuseum.org/art/collection/search/48933,Landscapes,20th century,https://images.metmuseum.org/CRDImages/as/original/DP206094_CRD.jpg,Male
458997,Robert Lehman Collection,Madonna and Child with Saints Mary Magdalen and Sebastian,Painting,Italy,Unknown,Icilio Federico Ioni,1866.0,1946.0,"Tempera on wood, gold ground",http://www.metmuseum.org/art/collection/search/458997,Madonna and Child|Mary Magdalene|Saints,20th century,https://images.metmuseum.org/CRDImages/rl/original/DT3041.jpg,Male
3538,The American Wing,Study of a Boy Carving a Crucifix,Drawing,United States,Unknown,Toby E. Rosenthal,1848.0,1917.0,Graphite with white gouache on green wove paper,http://www.metmuseum.org/art/collection/search/3538,Boys|Crucifixion|Working,20th century,https://images.metmuseum.org/CRDImages/ad/original/ap1993.102.2.jpg,Male
39901,Asian Art,唐 韓幹 照夜白圖 卷|Night-Shining White,Handscroll,China,Tang dynasty (618–907),Han Gan,742.0,756.0,Handscroll; ink on paper,http://www.metmuseum.org/art/collection/search/39901,Horses,8th century,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,Male
435658,European Paintings,Madonna and Child,Painting,Unknown,Unknown,Berlinghiero,1228.0,1236.0,"Tempera on wood, gold ground",http://www.metmuseum.org/art/collection/search/435658,Madonna and Child,13th century,https://images.metmuseum.org/CRDImages/ep/original/DP-26882-001.jpg,Male
359215,Drawings and Prints,Head of a Bearded Man,Drawing,Unknown,Unknown,"Anonymous, Bohemian, 14th century",1300.0,1399.0,"Pen and gray-brown ink, brush with gray-black and brown wash, traces of white gouache highlights.",http://www.metmuseum.org/art/collection/search/359215,Men,14th century,https://images.metmuseum.org/CRDImages/dp/original/DP803541.jpg,Male
435863,European Paintings,Saint Catherine Disputing and Two Donors,Painting,Unknown,Unknown,Cenni di Francesco di Ser Cenni,1369.0,1415.0,"Tempera on wood, gold ground",http://www.metmuseum.org/art/collection/search/435863,Men|Women|Saint Catherine,14th century,https://images.metmuseum.org/CRDImages/ep/original/DP-20591-001.jpg,Male
334692,Drawings and Prints,Saint Jerome (recto); Soldier with a Spear (verso),Drawing,Unknown,Unknown,Vittore Carpaccio,1460.0,1526.0,"Brush with black ink and gray wash, over traces of black chalk or charcoal, highlighted with white gouache on blue paper (recto); black chalk, highlighted with white gouache, with some brush and gray wash (verso)",http://www.metmuseum.org/art/collection/search/334692,Soldiers|Spears|Saint Jerome,15th century,https://images.metmuseum.org/CRDImages/dp/original/DP808278.jpg,Male
435576,European Paintings,Saint Alexander,Painting,Unknown,Unknown,Fra Angelico (Guido di Pietro),1395.0,1455.0,"Tempera on wood, gold ground",http://www.metmuseum.org/art/collection/search/435576,Bishops|Croziers|Miter,15th century,https://images.metmuseum.org/CRDImages/ep/original/DP-19582-001.jpg,Male
334646,Drawings and Prints,Studies of a Head and a Hand,Drawing,Unknown,Unknown,Andrea del Sarto (Andrea d'Agnolo),1486.0,1530.0,Red chalk,http://www.metmuseum.org/art/collection/search/334646,Hands|Heads|Profiles,16th century,https://images.metmuseum.org/CRDImages/dp/original/DP807712.jpg,Male
435585,European Paintings,Portrait of a Married Couple (Lorenz Kraffter and Honesta Merz?),Painting,Unknown,Unknown,Ulrich Apt the Elder,1460.0,1532.0,Oil on linden,http://www.metmuseum.org/art/collection/search/435585,Couples|Men|Portraits|Women,16th century,https://images.metmuseum.org/CRDImages/ep/original/DP296529.jpg,Male
860992,The Cloisters,Design for a Monumental Sacrament House,Drawing,Germany,Unknown,Unidentified|Lorenz Lechler and Workshop,,,"Pen and two types of ink (carbon black and iron gall) over blind ruling, 17th-century inscription in pen and ink, on parchment",http://www.metmuseum.org/art/collection/search/860992,Unknown,16th century,https://images.metmuseum.org/CRDImages/cl/original/tr-54ab-2022-1.jpg,Male
334653,Drawings and Prints,The Garden of Love (left portion),Drawing,Unknown,Unknown,Peter Paul Rubens|Peter Paul Rubens,,,"Pen, brown ink, brush and gray-green wash over traces of black chalk, touched with indigo, green, yellowish, and white paint",http://www.metmuseum.org/art/collection/search/334653,Gardens|Love|Couples|Men|Women|Cupid,17th century,https://images.metmuseum.org/CRDImages/dp/original/DP-35389-001.jpg,Male
435590,European Paintings,Family Group in a Landscape,Painting,Unknown,Unknown,Jacques d'Arthois|Flemish Painter,,,Oil on canvas,http://www.metmuseum.org/art/collection/search/435590,Birds|Boys|Girls|Men|Women|Dogs|Landscapes|Family,17th century,https://images.metmuseum.org/CRDImages/ep/original/DP-17626-001.jpg,Male
333777,Drawings and Prints,Conversation Piece,Drawing,Unknown,Unknown,Louis Léopold Boilly,1761.0,1845.0,"Pen and gray ink, brush and gray wash",http://www.metmuseum.org/art/collection/search/333777,Men|Women|Pianos|Dogs,18th century,https://images.metmuseum.org/CRDImages/dp/original/DP805353.jpg,Male
435573,European Paintings,Flora and Zephyr,Painting,Unknown,Unknown,Jacopo Amigoni,1682.0,1752.0,Oil on canvas,http://www.metmuseum.org/art/collection/search/435573,Goddess|Putti|Flowers|Landscapes,18th century,https://images.metmuseum.org/CRDImages/ep/original/DT8028.jpg,Male
330128,Drawings and Prints,"Hamlet in a Wheat Field, Vichy",Drawing,Unknown,Unknown,Jean-François Millet,1814.0,1875.0,"Pen and brown ink, with brush and brown wash, and watercolor",http://www.metmuseum.org/art/collection/search/330128,Landscapes,19th century,https://images.metmuseum.org/CRDImages/dp/original/DP-20971-001.jpg,Male
435599,European Paintings,Boatmen of Barcelona,Painting,Unknown,Unknown,Dionisio Baixeras y Verdaguer,1862.0,1943.0,Oil on canvas,http://www.metmuseum.org/art/collection/search/435599,Men|Boats|Ships,19th century,https://images.metmuseum.org/CRDImages/ep/original/EP603.jpg,Male
494707,Modern and Contemporary Art,Untitled,Drawing,Unknown,Unknown,Félicien Rops,1833.0,1898.0,Watercolor and colored pencil on paper,http://www.metmuseum.org/art/collection/search/494707,Mythical Creatures,19th century,https://images.metmuseum.org/CRDImages/ma/original/DP135188.jpg,Male
333769,Drawings and Prints,The Bouquet,Drawing,Unknown,Unknown,Ernest-Ange Duez,1843.0,1896.0,Watercolor,http://www.metmuseum.org/art/collection/search/333769,Women|Flowers,20th century,https://images.metmuseum.org/CRDImages/dp/original/DP805964.jpg,Male
435878,European Paintings,Mont Sainte-Victoire,Painting,Unknown,Unknown,Paul Cézanne,1839.0,1906.0,Oil on canvas,http://www.metmuseum.org/art/collection/search/435878,Mountains|Landscapes,20th century,https://images.metmuseum.org/CRDImages/ep/original/77J_045R2M.jpg,Male
482561,Modern and Contemporary Art,Torso of a Nude Woman,Drawing,Unknown,Unknown,Amedeo Modigliani,1884.0,1920.0,Graphite on paper,http://www.metmuseum.org/art/collection/search/482561,Female Nudes,20th century,https://images.metmuseum.org/CRDImages/ma/original/DT7435.jpg,Male
379662,Drawings and Prints,"Design for Landau, no. 958",Drawing,Unknown,Unknown,Brewster & Co.,,,Pen and black ink with metallic ink,http://www.metmuseum.org/art/collection/search/379662,Carriages,24th century,https://images.metmuseum.org/CRDImages/dp/original/DP877627.jpg,Male
451191,Islamic Art,"""Rooster"", Folio from a Dispersed Manuscript",Folio from an illustrated manuscript,Egypt,Unknown,Unknown,,,Opaque watercolor on paper,http://www.metmuseum.org/art/collection/search/451191,Roosters,10th century,https://images.metmuseum.org/CRDImages/is/original/sf54-108-1.jpg,Male
364509,Greek and Roman Art,"Half-Section of the Model of the Attic and Dome of Saint Peter's Basilica as Conceived by Michelangelo (recto); Detail Studies Relating to the Plan, Section, and Elevation of the Dome of Saint Peter's Basilica (verso).",Drawing,Unknown,Unknown,Etienne DuPérac,1535.0,1604.0,"Pen and brown ink, over leadpoint or black chalk.",http://www.metmuseum.org/art/collection/search/364509,Unknown,16th century,https://images.metmuseum.org/CRDImages/dp/original/Mich 49.92.92.JPG,Male
34020,Arms and Armor,Portrait of a Man in Armor,Painting,Spain,Unknown,Unknown,,,Oil on canvas,http://www.metmuseum.org/art/collection/search/34020,Portraits|Armor|Men,17th century,https://images.metmuseum.org/CRDImages/aa/original/ep29.158.755.bw.R.jpg,Male
256186,Greek and Roman Art,Wall painting,Wall painting,Italy,Late Classical,Unknown,,,Fresco,http://www.metmuseum.org/art/collection/search/256186,Horses|Warriors|Women|Pomegranates,4th century BCE,https://images.metmuseum.org/CRDImages/gr/original/DP350061.jpg,Male
324017,Ancient Near Eastern Art,Fragment of wall painting: female with a mouth cover (padam),Wall painting,Iran,Sasanian,Unknown,,,"Stucco, paint, plaster",http://www.metmuseum.org/art/collection/search/324017,Women,7th century,https://images.metmuseum.org/CRDImages/an/original/DP-24861-001.jpg,Male
